temp,windspeed,rain,HomeTeam,AwayTeam,HTHG,HTAG,HS,AS,HST,AST,HC,HY,AY,HR,AR,League Year,ExpectedBetHomeWin,ExpectedBetDraw,ExpectedBetAwayWin,FinalResult,Goal_Difference,Home_Attack,Home_Midfield,Home_Defence,Home_Overall,Away_Attack,Away_Midfield,Away_Defence,Away_Overall
60.5,5.9,0,Liverpool,Crystal Palace,3.0,0.0,13.0,11.0,7.0,2.0,11.0,2.0,1.0,0.0,0.0,2013,1.21,6.625,15.0,2,3.0,76,79,78,80,71,72,71,72
60.5,5.9,0,Man City,Everton,2.0,1.0,12.0,6.0,6.0,4.0,8.0,5.0,4.0,0.0,0.0,2013,1.6524999999999999,3.9749999999999996,5.375,2,1.0,84,83,81,82,78,78,78,78
60.5,5.9,0,Sunderland,Man United,1.0,0.0,6.0,13.0,2.0,6.0,4.0,2.0,4.0,0.0,0.0,2013,5.75,3.9,1.6275,0,1.0,74,73,73,74,85,79,80,82
57.6,7.2,0,Norwich,Chelsea,0.0,1.0,14.0,22.0,3.0,8.0,4.0,1.0,1.0,0.0,0.0,2013,6.25,3.9999999999999996,1.5975000000000001,0,0.0,74,74,74,74,81,82,81,82
57.6,7.2,0,Southampton,Swansea,1.0,0.0,12.0,17.0,4.0,7.0,7.0,3.0,1.0,0.0,0.0,2013,2.0875,3.35,3.7375000000000003,2,1.0,76,76,73,75,79,74,75,76
57.6,7.2,0,Tottenham,West Ham,0.0,0.0,14.0,16.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,2013,1.435,4.475,8.1875,0,0.0,77,80,78,80,76,74,72,74
57.6,7.2,0,West Brom,Arsenal,1.0,0.0,12.0,14.0,4.0,5.0,6.0,1.0,2.0,0.0,0.0,2013,4.775,3.8875,1.75,1,1.0,70,74,72,74,79,81,80,80
59.4,12.5,0,Arsenal,Norwich,1.0,0.0,20.0,12.0,11.0,6.0,10.0,0.0,0.0,0.0,0.0,2013,1.285,5.5,11.375,2,1.0,79,81,80,80,74,74,74,74
59.4,12.5,0,Chelsea,Cardiff,1.0,1.0,20.0,13.0,7.0,3.0,6.0,1.0,2.0,0.0,0.0,2013,1.245,5.9375,14.5,2,0.0,81,82,81,82,72,70,73,72
59.4,12.5,0,Everton,Hull,1.0,1.0,14.0,9.0,6.0,1.0,5.0,3.0,1.0,0.0,0.0,2013,1.4400000000000002,4.275,8.1875,2,0.0,78,78,78,78,72,71,71,72
59.4,12.5,0,Man United,Southampton,1.0,0.0,12.0,18.0,5.0,7.0,4.0,2.0,3.0,0.0,0.0,2013,1.5525000000000002,4.1274999999999995,6.3125,1,1.0,85,79,80,82,76,76,73,75
